run_id,task,variant,scale,seed_index,active_parameter_count,target_active_parameters,active_capacity_match_error,padding_parameter_count,route_feature_dim,test_mse,test_nmse,test_nrmse,test_mae,test_p95_to_median_abs_error,total_seconds,fixed_component,variant_semantics,run_path
p5_pilot_controlled_symbolic_regime_language_P250_RFF_s2,controlled_symbolic_regime_language,RFF,P250,2,249991,250000,3.6e-05,0,0,0.20801939070224762,1.19638192653656,1.09379243850708,0.33907774090766907,4.305034160614014,0.5227292771451175,random_fourier_map,RFF,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_symbolic_regime_language_P250_RFF_s2
p5_pilot_controlled_symbolic_regime_language_P250_RFmFULL_s0,controlled_symbolic_regime_language,RF-FULL,P250,0,250553,250000,0.002212,0,64,0.006629379000514746,0.13168023526668549,0.3628776967525482,0.060148920863866806,3.712195873260498,1.2656852090731263,,RF-FULL,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_symbolic_regime_language_P250_RFmFULL_s0
p5_pilot_controlled_symbolic_regime_language_P250_RFmFULL_s1,controlled_symbolic_regime_language,RF-FULL,P250,1,250553,250000,0.002212,0,64,0.010811657644808292,0.08181041479110718,0.28602519631385803,0.07866942882537842,3.7909185886383057,1.2379453650210053,,RF-FULL,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_symbolic_regime_language_P250_RFmFULL_s1
p5_pilot_controlled_symbolic_regime_language_P250_RFmFULL_s2,controlled_symbolic_regime_language,RF-FULL,P250,2,250553,250000,0.002212,0,64,0.010290616191923618,0.059184420853853226,0.24327848851680756,0.07224780321121216,4.193859577178955,1.4465551250614226,,RF-FULL,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_symbolic_regime_language_P250_RFmFULL_s2
p5_pilot_controlled_symbolic_regime_language_P250_RFmKV_s0,controlled_symbolic_regime_language,RF-KV,P250,0,250553,250000,0.002212,0,64,0.003250377019867301,0.06456267088651657,0.25409185886383057,0.04181554913520813,3.568122625350952,2.375314883887768,,RF-KV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_symbolic_regime_language_P250_RFmKV_s0
p5_pilot_controlled_symbolic_regime_language_P250_RFmKV_s1,controlled_symbolic_regime_language,RF-KV,P250,1,250553,250000,0.002212,0,64,0.004404815379530191,0.03333066776394844,0.18256688117980957,0.0477835051715374,3.515204906463623,2.060117645887658,,RF-KV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_symbolic_regime_language_P250_RFmKV_s1
p5_pilot_controlled_symbolic_regime_language_P250_RFmKV_s2,controlled_symbolic_regime_language,RF-KV,P250,2,250553,250000,0.002212,0,64,0.004728041123598814,0.027192382141947746,0.16490112245082855,0.054597217589616776,2.785055160522461,2.3707348383031785,,RF-KV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_symbolic_regime_language_P250_RFmKV_s2
p5_pilot_switching_mackey_glass_controlled_P1M_D0_s0,switching_mackey_glass_controlled,D0,P1M,0,1001853,1000000,0.001853,0,64,0.0062782433815300465,0.028139131143689156,0.16774722933769226,0.06405505537986755,2.8162665367126465,1.6646784578915685,,D0,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_D0_s0
p5_pilot_switching_mackey_glass_controlled_P1M_D0_s1,switching_mackey_glass_controlled,D0,P1M,1,1001853,1000000,0.001853,0,64,0.004049275536090136,0.049009256064891815,0.221380352973938,0.04573458433151245,3.990049362182617,1.6259678550995886,,D0,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_D0_s1
p5_pilot_switching_mackey_glass_controlled_P1M_D0_s2,switching_mackey_glass_controlled,D0,P1M,2,1001853,1000000,0.001853,0,64,0.0052837710827589035,0.036164142191410065,0.19016872346401215,0.0478864349424839,3.2122862339019775,1.839492472819984,,D0,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_D0_s2
p5_pilot_switching_mackey_glass_controlled_P1M_DDmL_s0,switching_mackey_glass_controlled,DD-L,P1M,0,999801,1000000,0.000199,0,64,0.007403133437037468,0.03318089619278908,0.1821562498807907,0.06204356253147125,4.148929595947266,2.5885474970564246,,DD-L,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_DDmL_s0
p5_pilot_switching_mackey_glass_controlled_P1M_DDmL_s1,switching_mackey_glass_controlled,DD-L,P1M,1,999801,1000000,0.000199,0,64,0.0034552968572825193,0.04182020202279091,0.20449988543987274,0.04493189975619316,3.1855967044830322,2.2937465070281178,,DD-L,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_DDmL_s1
p5_pilot_switching_mackey_glass_controlled_P1M_DDmL_s2,switching_mackey_glass_controlled,DD-L,P1M,2,999801,1000000,0.000199,0,64,0.007117183413356543,0.04871271550655365,0.22070957720279694,0.05419496074318886,3.1557722091674805,2.255018783034757,,DD-L,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_DDmL_s2
p5_pilot_switching_mackey_glass_controlled_P1M_KCmLV_s0,switching_mackey_glass_controlled,KC-LV,P1M,0,999801,1000000,0.000199,0,64,0.005565394181758165,0.024944135919213295,0.15793712437152863,0.057226624339818954,3.8758902549743652,2.1642701900564134,sampled_training_representation_keys,KC-LV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_KCmLV_s0
p5_pilot_switching_mackey_glass_controlled_P1M_KCmLV_s1,switching_mackey_glass_controlled,KC-LV,P1M,1,999801,1000000,0.000199,0,64,0.0037736149970442057,0.04567287489771843,0.21371214091777802,0.04107620194554329,5.621705055236816,2.1594703879673034,sampled_training_representation_keys,KC-LV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_KCmLV_s1
p5_pilot_switching_mackey_glass_controlled_P1M_KCmLV_s2,switching_mackey_glass_controlled,KC-LV,P1M,2,999801,1000000,0.000199,0,64,0.006961679086089134,0.04764838516712189,0.21828509867191315,0.05533144250512123,3.274712085723877,2.4309070450253785,sampled_training_representation_keys,KC-LV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_KCmLV_s2
p5_pilot_switching_mackey_glass_controlled_P1M_RFF_s0,switching_mackey_glass_controlled,RFF,P1M,0,999961,1000000,3.9e-05,0,0,0.24691087007522583,1.1066563129425049,1.051977276802063,0.3923124372959137,3.240373134613037,0.5216128828469664,random_fourier_map,RFF,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_RFF_s0
p5_pilot_switching_mackey_glass_controlled_P1M_RFF_s1,switching_mackey_glass_controlled,RFF,P1M,1,999961,1000000,3.9e-05,0,0,0.08425426483154297,1.0197474956512451,1.0098254680633545,0.22443480789661407,3.447272300720215,0.5405497099272907,random_fourier_map,RFF,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_RFF_s1
p5_pilot_switching_mackey_glass_controlled_P1M_RFF_s2,switching_mackey_glass_controlled,RFF,P1M,2,999961,1000000,3.9e-05,0,0,0.18449024856090546,1.2627216577529907,1.123708963394165,0.31971484422683716,4.301365852355957,1.056269088992849,random_fourier_map,RFF,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_RFF_s2
p5_pilot_switching_mackey_glass_controlled_P1M_RFmFULL_s0,switching_mackey_glass_controlled,RF-FULL,P1M,0,999801,1000000,0.000199,0,64,0.01922527328133583,0.08616781234741211,0.2935435473918915,0.10379038006067276,3.861497402191162,1.2856331740040332,,RF-FULL,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_RFmFULL_s0
p5_pilot_switching_mackey_glass_controlled_P1M_RFmFULL_s1,switching_mackey_glass_controlled,RF-FULL,P1M,1,999801,1000000,0.000199,0,64,0.005224390421062708,0.0632319226861,0.2514595687389374,0.05003729462623596,5.207679271697998,1.4497701358050108,,RF-FULL,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_RFmFULL_s1
p5_pilot_switching_mackey_glass_controlled_P1M_RFmFULL_s2,switching_mackey_glass_controlled,RF-FULL,P1M,2,999801,1000000,0.000199,0,64,0.007226546760648489,0.0494612418115139,0.22239883244037628,0.05701163411140442,5.2117695808410645,1.5006819812115282,,RF-FULL,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_RFmFULL_s2
p5_pilot_switching_mackey_glass_controlled_P1M_RFmKV_s0,switching_mackey_glass_controlled,RF-KV,P1M,0,999801,1000000,0.000199,0,64,0.007733343634754419,0.03466090187430382,0.18617437779903412,0.06340745836496353,4.124310493469238,2.3956444007344544,,RF-KV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_RFmKV_s0
p5_pilot_switching_mackey_glass_controlled_P1M_RFmKV_s1,switching_mackey_glass_controlled,RF-KV,P1M,1,999801,1000000,0.000199,0,64,0.0034766627941280603,0.04207880049943924,0.2051311731338501,0.04536066949367523,3.096493721008301,2.4527088501490653,,RF-KV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_RFmKV_s1
p5_pilot_switching_mackey_glass_controlled_P1M_RFmKV_s2,switching_mackey_glass_controlled,RF-KV,P1M,2,999801,1000000,0.000199,0,64,0.007757777813822031,0.0530971884727478,0.23042826354503632,0.057651083916425705,3.8284125328063965,2.167536830995232,,RF-KV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P1M_RFmKV_s2
p5_pilot_switching_mackey_glass_controlled_P250_D0_s0,switching_mackey_glass_controlled,D0,P250,0,249969,250000,0.000124,0,64,0.004617139231413603,0.03005777858197689,0.1733717918395996,0.04894155263900757,5.000664234161377,1.5701042341534048,,D0,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_D0_s0
p5_pilot_switching_mackey_glass_controlled_P250_D0_s1,switching_mackey_glass_controlled,D0,P250,1,249969,250000,0.000124,0,64,0.004622291307896376,0.05930529907345772,0.24352678656578064,0.055009376257658005,2.5754501819610596,1.7985191168263555,,D0,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_D0_s1
p5_pilot_switching_mackey_glass_controlled_P250_D0_s2,switching_mackey_glass_controlled,D0,P250,2,249969,250000,0.000124,0,64,0.0026430191937834024,0.03861013799905777,0.19649462401866913,0.043101176619529724,2.1636128425598145,1.8374855190049857,,D0,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_D0_s2
p5_pilot_switching_mackey_glass_controlled_P250_DDmL_s0,switching_mackey_glass_controlled,DD-L,P250,0,250553,250000,0.002212,0,64,0.004350464791059494,0.02832171693444252,0.16829057037830353,0.04848114028573036,3.9176290035247803,2.2320940899662673,,DD-L,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_DDmL_s0
p5_pilot_switching_mackey_glass_controlled_P250_DDmL_s1,switching_mackey_glass_controlled,DD-L,P250,1,250553,250000,0.002212,0,64,0.004577317740768194,0.05872827395796776,0.24233917891979218,0.05417487025260925,2.7375078201293945,2.5124730539973825,,DD-L,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_DDmL_s1
p5_pilot_switching_mackey_glass_controlled_P250_DDmL_s2,switching_mackey_glass_controlled,DD-L,P250,2,250553,250000,0.002212,0,64,0.002193253953009844,0.032039813697338104,0.17899668216705322,0.03228078782558441,5.552206516265869,2.513312098570168,,DD-L,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_DDmL_s2
p5_pilot_switching_mackey_glass_controlled_P250_KCmLV_s0,switching_mackey_glass_controlled,KC-LV,P250,0,250553,250000,0.002212,0,64,0.004250107333064079,0.027668384835124016,0.16633816063404083,0.05083676800131798,3.224750280380249,2.388598836027086,sampled_training_representation_keys,KC-LV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_KCmLV_s0
p5_pilot_switching_mackey_glass_controlled_P250_KCmLV_s1,switching_mackey_glass_controlled,KC-LV,P250,1,250553,250000,0.002212,0,64,0.0037398275453597307,0.047983039170503616,0.2190503180027008,0.04858919978141785,3.176715850830078,2.385202564066276,sampled_training_representation_keys,KC-LV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_KCmLV_s1
p5_pilot_switching_mackey_glass_controlled_P250_KCmLV_s2,switching_mackey_glass_controlled,KC-LV,P250,2,250553,250000,0.002212,0,64,0.002192643703892827,0.032030899077653885,0.1789717823266983,0.036717478185892105,3.1026523113250732,2.087111731991172,sampled_training_representation_keys,KC-LV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_KCmLV_s2
p5_pilot_switching_mackey_glass_controlled_P250_RFF_s0,switching_mackey_glass_controlled,RFF,P250,0,249991,250000,3.6e-05,0,0,0.1921408772468567,1.2508455514907837,1.1184120178222656,0.29847922921180725,5.15247917175293,0.4806091801729053,random_fourier_map,RFF,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_RFF_s0
p5_pilot_switching_mackey_glass_controlled_P250_RFF_s1,switching_mackey_glass_controlled,RFF,P250,1,249991,250000,3.6e-05,0,0,0.07993564754724503,1.0255968570709229,1.0127174854278564,0.23167993128299713,2.810758590698242,0.5417427509091794,random_fourier_map,RFF,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_RFF_s1
p5_pilot_switching_mackey_glass_controlled_P250_RFF_s2,switching_mackey_glass_controlled,RFF,P250,2,249991,250000,3.6e-05,0,0,0.07107435166835785,1.0382786989212036,1.018959641456604,0.21340219676494598,2.8558566570281982,0.5317568560130894,random_fourier_map,RFF,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_RFF_s2
p5_pilot_switching_mackey_glass_controlled_P250_RFmFULL_s0,switching_mackey_glass_controlled,RF-FULL,P250,0,250553,250000,0.002212,0,64,0.014570511877536774,0.09485466778278351,0.307984858751297,0.0729207918047905,7.686088562011719,1.4067063368856907,,RF-FULL,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_RFmFULL_s0
