best_validation_mse,condition,memory_freeze_step,memory_protocol,memory_trace_points,parameter_count,run_id,run_path,scale,seed,status,task,test_mae,test_mse,total_seconds,train_mse,trainable_parameter_count,training_samples,training_steps,validation_mae,validation_mse,variant
0.050408110270897546,recurring,,joint,13,250000,p4_prototype_switch_recurring_RFmb_S_s803867,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_recurring_RFmb_S_s803867,S,803867,complete,prototype_switch,0.1731753925482432,0.0473500145599246,2.1262938079889864,0.04963535078180333,247952,7680,240,0.19768246511618295,0.059002614269653954,RF-b
0.03518890842678957,separated,,joint,0,1000000,p4_prototype_switch_separated_D0_M_s448447,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_D0_M_s448447,M,448447,complete,prototype_switch,0.15326447202824056,0.030940528609789908,2.044587996788323,0.021969791072478984,1000000,7680,480,0.1463377244072035,0.03518890842678957,D0
0.02926794685481582,separated,,joint,0,1000000,p4_prototype_switch_separated_D0_M_s774672,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_D0_M_s774672,M,774672,complete,prototype_switch,0.119577954756096,0.025592584308469668,2.0576612290460616,0.025653969642007723,1000000,7680,480,0.12447897880338132,0.02926794685481582,D0
0.07951773342986902,separated,,joint,0,250000,p4_prototype_switch_separated_D0_S_s32679,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_D0_S_s32679,S,32679,complete,prototype_switch,0.21101925373077393,0.06851136063536008,1.2191580790095031,0.04592614869276682,250000,7680,240,0.2101416657368342,0.07951773342986902,D0
0.05223293788731098,separated,,joint,0,250000,p4_prototype_switch_separated_D0_S_s39479,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_D0_S_s39479,S,39479,complete,prototype_switch,0.2580715239048004,0.08961309144894282,1.226242887089029,0.04225073452107608,250000,7680,240,0.20653503884871802,0.06442275146643321,D0
0.03782746662909631,separated,,joint,13,1000000,p4_prototype_switch_separated_DDmb_M_s448447,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_DDmb_M_s448447,M,448447,complete,prototype_switch,0.15951785002835095,0.037329295300878584,3.494789596181363,0.029514738023863174,1000000,7680,480,0.155805995920673,0.038677494769217446,DD-b
0.02476523761288263,separated,,joint,13,1000000,p4_prototype_switch_separated_DDmb_M_s774672,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_DDmb_M_s774672,M,774672,complete,prototype_switch,0.12448389548808336,0.023916821490274742,3.465428831987083,0.02583327909815125,1000000,7680,480,0.11245268606580794,0.02476523761288263,DD-b
0.0792477447539568,separated,,joint,13,250000,p4_prototype_switch_separated_DDmb_S_s32679,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_DDmb_S_s32679,S,32679,complete,prototype_switch,0.2500909099976222,0.08509146670500438,2.1519042858853936,0.037935671396553516,250000,7680,240,0.21762113769849142,0.0792477447539568,DD-b
0.050132666776577635,separated,,joint,13,250000,p4_prototype_switch_separated_DDmb_S_s39479,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_DDmb_S_s39479,S,39479,complete,prototype_switch,0.2487939735253652,0.08278930336236953,2.1743349118623883,0.037171009190691016,250000,7680,240,0.19798559794823328,0.05961619739731153,DD-b
0.03527335831313394,separated,360,warmup_then_freeze,14,1000000,p4_prototype_switch_separated_DDmbmstaged_M_s448447,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_DDmbmstaged_M_s448447,M,448447,complete,prototype_switch,0.13404614268802106,0.025513858039630577,3.574749856023118,0.034353867420577444,993856,7680,480,0.14952130382880569,0.03527335831313394,DD-b-staged
0.02697543909016531,separated,360,warmup_then_freeze,14,1000000,p4_prototype_switch_separated_DDmbmstaged_M_s774672,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_DDmbmstaged_M_s774672,M,774672,complete,prototype_switch,0.14732609456405044,0.03080324863549322,3.8613157547079027,0.01816208628588356,993856,7680,480,0.11698203498963267,0.02697543909016531,DD-b-staged
0.06766011004025738,separated,180,warmup_then_freeze,14,250000,p4_prototype_switch_separated_DDmbmstaged_S_s32679,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_DDmbmstaged_S_s32679,S,32679,complete,prototype_switch,0.19739664395650228,0.05528133610884348,2.1678737909533083,0.05137026930848757,247952,7680,240,0.1983952482541402,0.06766011004025738,DD-b-staged
0.050132666776577635,separated,180,warmup_then_freeze,14,250000,p4_prototype_switch_separated_DDmbmstaged_S_s39479,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_DDmbmstaged_S_s39479,S,39479,complete,prototype_switch,0.2509419391552607,0.08391197050611178,2.1876122639514506,0.0366734320220227,247952,7680,240,0.19593914598226547,0.059790451700488724,DD-b-staged
0.03762951437965967,separated,,joint,13,1000000,p4_prototype_switch_separated_RFmb_M_s448447,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_RFmb_M_s448447,M,448447,complete,prototype_switch,0.15970875741913915,0.03751550056040287,3.430290459189564,0.02913257261388935,993856,7680,480,0.1554976503830403,0.03865852701710537,RF-b
0.02482963319926057,separated,,joint,13,1000000,p4_prototype_switch_separated_RFmb_M_s774672,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_RFmb_M_s774672,M,774672,complete,prototype_switch,0.12452008668333292,0.02396421242156066,3.461400769650936,0.02588729305716697,993856,7680,480,0.11266482097562402,0.02482963319926057,RF-b
0.07942049698904156,separated,,joint,13,250000,p4_prototype_switch_separated_RFmb_S_s32679,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_RFmb_S_s32679,S,32679,complete,prototype_switch,0.25013055006663004,0.08498041679461797,2.096334627829492,0.03803256689570844,247952,7680,240,0.21774971385796865,0.07942049698904156,RF-b
0.05028077512979508,separated,,joint,13,250000,p4_prototype_switch_separated_RFmb_S_s39479,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_prototype_switch_separated_RFmb_S_s39479,S,39479,complete,prototype_switch,0.24902471800645193,0.08286466946204503,2.0815655821934342,0.03723386500496417,247952,7680,240,0.19807835469643276,0.059645804762840274,RF-b
0.004745815098431194,recurring,,joint,0,1000000,p4_switching_mackey_glass_recurring_D0_M_s20688,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_D0_M_s20688,M,20688,complete,switching_mackey_glass,0.06529410905204713,0.006940009458048735,1.9843657731544226,0.006188377839862369,1000000,7680,480,0.06404356425628066,0.00668600376957329,D0
0.004075404609466204,recurring,,joint,0,1000000,p4_switching_mackey_glass_recurring_D0_M_s542959,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_D0_M_s542959,M,542959,complete,switching_mackey_glass,0.05059699894627556,0.004018162697320804,2.0347505051176995,0.003829502224107273,1000000,7680,480,0.05113934038672596,0.004075404609466204,D0
0.008990548846001426,recurring,,joint,0,250000,p4_switching_mackey_glass_recurring_D0_S_s594644,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_D0_S_s594644,S,594644,complete,switching_mackey_glass,0.08510748172799747,0.01044220266242822,1.2180839967913926,0.013803904759697616,250000,7680,240,0.07853655616442362,0.008990548846001426,D0
0.006036455292875568,recurring,,joint,0,250000,p4_switching_mackey_glass_recurring_D0_S_s922467,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_D0_S_s922467,S,922467,complete,switching_mackey_glass,0.06457150677839915,0.006561124805981914,1.2178060952574015,0.008752361570562547,250000,7680,240,0.06089738483230273,0.006037327026327451,D0
0.003652169978522579,recurring,,joint,13,1000000,p4_switching_mackey_glass_recurring_DDmb_M_s20688,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_DDmb_M_s20688,M,20688,complete,switching_mackey_glass,0.04816094471607357,0.0036700013297377154,4.26268712291494,0.0033554888650542125,1000000,7680,480,0.04756619437830523,0.003652169978522579,DD-b
0.004943158230162226,recurring,,joint,13,1000000,p4_switching_mackey_glass_recurring_DDmb_M_s542959,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_DDmb_M_s542959,M,542959,complete,switching_mackey_glass,0.06348349491599947,0.005934612185228616,4.171345250215381,0.0067194892253610305,1000000,7680,480,0.06959164561703801,0.006951813902560389,DD-b
